contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,T,impliedVolatilityNoAssumptions,moneyness
MSFT250627C00495000,2025-06-25 19:59:58+00:00,495.0,1.31,1.29,1.33,0.26,24.761906,10810.0,5884.0,0.13758186645507814,False,REGULAR,USD,2025-06-27,2.0,40887.594980200105,1.0055457595369526
MSFT250627C00497500,2025-06-25 19:59:58+00:00,497.5,0.67,0.65,0.7,0.14000005,26.415104,7070.0,6446.0,0.13892462646484377,False,REGULAR,USD,2025-06-27,2.0,-0.03527833069562569,1.0106242734740079
MSFT250627C00500000,2025-06-25 19:59:59+00:00,500.0,0.33,0.33,0.34,0.08000001,32.000004,13113.0,8403.0,0.14063359375,False,REGULAR,USD,2025-06-27,2.0,-0.033805515019961305,1.0157027874110633
MSFT250627C00502500,2025-06-25 19:58:26+00:00,502.5,0.17,0.17,0.19,0.040000007,30.769236,2245.0,2981.0,0.149422568359375,False,REGULAR,USD,2025-06-27,2.0,-0.030273920910399654,1.0207813013481186
MSFT250627C00505000,2025-06-25 19:59:29+00:00,505.0,0.1,0.09,0.11,0.040000003,66.66668,2799.0,2562.0,0.15869981933593752,False,REGULAR,USD,2025-06-27,2.0,-0.02561090115202013,1.025859815285174
MSFT250627C00507500,2025-06-25 19:59:29+00:00,507.5,0.06,0.05,0.2,0.04,200.0,955.0,663.0,0.20557435058593748,False,REGULAR,USD,2025-06-27,2.0,-0.019934405030603643,1.0309383292222292
MSFT250627C00510000,2025-06-25 19:49:49+00:00,510.0,0.03,0.03,0.05,0.01,50.0,1540.0,1398.0,0.18360191406249998,False,REGULAR,USD,2025-06-27,2.0,-0.010891424845881958,1.0360168431592844
MSFT250627C00512500,2025-06-24 16:01:55+00:00,512.5,0.03,0.0,0.22,0.0,0.0,5.0,22.0,0.2617261328125,False,REGULAR,USD,2025-06-27,2.0,-0.004821463739724256,1.0410953570963397
MSFT250627C00515000,2025-06-25 16:32:06+00:00,515.0,0.01,0.0,0.03,0.0,0.0,41.0,912.0,0.21094539062499998,False,REGULAR,USD,2025-06-27,2.0,-0.009169518773059817,1.0461738710333952
MSFT250627C00520000,2025-06-25 16:24:52+00:00,520.0,0.01,0.0,0.01,0.0,0.0,1.0,538.0,0.22266402343749997,False,REGULAR,USD,2025-06-27,2.0,-0.0067707335656956615,1.0563308989075058
MSFT250627C00525000,2025-06-25 15:56:29+00:00,525.0,0.01,0.0,0.02,0.0,0.0,22.0,24.0,0.27539787109374997,False,REGULAR,USD,2025-06-27,2.0,178916050.97623864,1.0664879267816163
MSFT250627C00530000,2025-06-25 14:43:13+00:00,530.0,0.02,0.0,0.01,0.01,100.0,23.0,156.0,0.2890696093749999,False,REGULAR,USD,2025-06-27,2.0,-557.9709571797251,1.076644954655727
MSFT250627C00535000,2025-06-24 13:45:01+00:00,535.0,0.01,0.0,0.17,0.0,0.0,11.0,14.0,0.454107021484375,False,REGULAR,USD,2025-06-27,2.0,-791.933810526245,1.0868019825298376
MSFT250627C00540000,2025-06-17 14:09:51+00:00,540.0,0.02,0.0,0.17,0.0,0.0,3.0,96.0,0.49707534179687507,False,REGULAR,USD,2025-06-27,2.0,1.9730567193666447e+167,1.0969590104039484
MSFT250627C00545000,2025-06-10 14:23:49+00:00,545.0,0.02,0.0,0.17,0.0,0.0,12.0,62.0,0.5380905566406251,False,REGULAR,USD,2025-06-27,2.0,10894.166115020374,1.107116038278059
MSFT250627C00550000,2025-06-24 15:50:09+00:00,550.0,0.09,0.0,0.17,0.0,0.0,2.0,32.0,0.526371923828125,False,REGULAR,USD,2025-06-27,2.0,1464693.8448395282,1.1172730661521695
MSFT250627C00575000,2025-06-23 13:30:03+00:00,575.0,0.02,,,0.0,0.0,,,0.0,False,REGULAR,USD,2025-06-27,2.0,0.26054059603206736,1.1680582055227227
MSFT250627C00600000,2025-06-24 18:31:53+00:00,600.0,0.01,0.0,0.01,0.0,0.0,2.0,12.0,0.6718782812500002,False,REGULAR,USD,2025-06-27,2.0,0.24005560333910142,1.2188433448932758
MSFT250703C00230000,2025-06-20 19:52:48+00:00,230.0,247.99,260.95,263.65,0.0,0.0,1.0,1.0,1.6015644921874999,True,REGULAR,USD,2025-07-03,8.0,411.5768572477801,0.4672232822090891
MSFT250703C00310000,2025-06-20 15:40:00+00:00,310.0,170.8,181.05,183.8,0.0,0.0,1.0,1.0,1.1875040625,True,REGULAR,USD,2025-07-03,8.0,1.4602414200585567e+204,0.6297357281948592
